frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T21:59:12.316+09:00,0.200,0,5.59,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,0,-0.026087,0.046956,0.046956,0,748,green,0,unknown,0.000000,null,0.000000,0.176,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.176,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-01T21:59:12.435+09:00,0.329,1,6.44,0,DRIVING,,0,1,0,-0.026932,0.050001,0.050001,0,748,green,0,unknown,0.000000,null,0.000000,0.079,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.079,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-01T21:59:12.540+09:00,0.432,2,7.27,0,DRIVING,,0,1,0,-0.027567,0.051827,0.051827,0,748,green,0,unknown,0.000000,null,0.000000,0.181,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.181,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-01T21:59:12.640+09:00,0.533,3,7.77,0,DRIVING,,0,1,0,-0.028042,0.052877,0.052877,0,748,green,0,unknown,0.000000,null,0.000000,0.174,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.174,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-01T21:59:12.756+09:00,0.650,4,7.92,0,DRIVING,,0,1,0,-0.028399,0.053441,0.053441,0,748,green,0,unknown,0.000000,null,0.000000,0.183,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.183,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-01T21:59:12.870+09:00,0.762,5,8.08,0,DRIVING,,0,1,0,-0.028667,0.053707,0.053707,0,748,green,0,unknown,0.000000,null,0.000000,0.295,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.295,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-01T21:59:12.974+09:00,0.867,6,8.24,0,DRIVING,,0,1,0,-0.028867,0.053798,0.053798,0,748,green,0,unknown,0.000000,null,0.000000,0.304,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.304,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-01T21:59:13.083+09:00,0.976,7,8.35,0,DRIVING,,0,1,0,-0.029018,0.053788,0.053788,0,748,green,0,unknown,0.000000,null,0.000000,0.296,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.296,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-01T21:59:13.192+09:00,1.084,8,8.46,0,DRIVING,,0,1,0,-0.029131,0.053728,0.053728,0,748,green,0,unknown,0.000000,null,0.000000,0.403,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.403,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-01T21:59:13.296+09:00,1.189,9,8.54,0,DRIVING,,0,1,0,-0.029215,0.053645,0.053645,0,748,green,0,unknown,0.000000,null,0.000000,0.291,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.291,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
