frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,lane_label_raw,lane_label_confirmed,lane_label_inner_votes,lane_label_outer_votes,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T22:37:16.936+09:00,0.191,0,5.68,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0.070617,UNKNOWN,UNKNOWN,0,0,-0.127110,-0.127110,0,741,green,0,unknown,0.000000,null,0.000000,0.173,,"{""0"": 132, ""1"": 132, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 132, ""1"": 132}",132,1,1,0,0,0.173,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
2,2026-08-01T22:37:17.070+09:00,0.333,1,6.23,0,STOPPED_RED,state:DRIVING->STOPPED_RED,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,742,green,0,unknown,0.000000,null,0.000000,0.088,,"{""0"": 132, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 132, ""1"": 131}",131,1,1,0,0,0.088,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
3,2026-08-01T22:37:17.190+09:00,0.450,2,6.84,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,741,green,0,unknown,0.000000,null,0.000000,0.206,,"{""0"": 107, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 107, ""1"": 131}",107,1,1,0,0,0.206,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
4,2026-08-01T22:37:17.303+09:00,0.567,3,7.19,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,742,green,0,unknown,0.000000,null,0.000000,0.201,,"{""0"": 106, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 106, ""1"": 250}",106,1,1,0,0,0.201,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
5,2026-08-01T22:37:17.421+09:00,0.683,4,7.43,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,740,green,0,unknown,0.000000,null,0.000000,0.196,,"{""0"": 107, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 107, ""1"": 131}",107,1,1,0,0,0.196,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
6,2026-08-01T22:37:17.547+09:00,0.810,5,7.51,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,741,green,0,unknown,0.000000,null,0.000000,0.321,,"{""0"": 106, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 106, ""1"": 131}",106,1,1,0,0,0.321,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
7,2026-08-01T22:37:17.669+09:00,0.929,6,7.65,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,741,green,0,unknown,0.000000,null,0.000000,0.327,,"{""0"": 134, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 134, ""1"": 131}",131,1,1,0,0,0.327,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
8,2026-08-01T22:37:17.778+09:00,1.042,7,7.76,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,740,green,0,unknown,0.000000,null,0.000000,0.323,,"{""0"": 107, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 107, ""1"": 131}",107,1,1,0,0,0.323,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
9,2026-08-01T22:37:17.900+09:00,1.162,8,7.81,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,741,green,0,unknown,0.000000,null,0.000000,0.198,,"{""0"": 132, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 132, ""1"": 131}",131,1,1,0,0,0.198,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
10,2026-08-01T22:37:18.027+09:00,1.288,9,7.83,0,STOPPED_RED,,1,1,1,0.070014,UNKNOWN,UNKNOWN,0,0,0.000000,0.000000,0,740,green,0,unknown,0.000000,null,0.000000,0.322,,"{""0"": 106, ""1"": 132, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 106, ""1"": 132}",106,1,1,0,0,0.322,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
