frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T02:08:54.039+09:00,0.209,0,5.17,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,0.151078,-1.334,4733,0,-0.271940,-0.271940,0,747,unknown,0,unknown,0.000000,null,0.000000,0.190,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.190,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-02T02:08:54.220+09:00,0.402,1,5.13,0,DRIVING,,0,1,1,0,0,0,0.150018,-1.393,4847,0,-0.268125,-0.268125,0,747,unknown,0,unknown,0.000000,null,0.000000,0.134,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.134,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-02T02:08:54.369+09:00,0.548,2,5.61,0,DRIVING,,0,1,1,0,0,0,0.150635,-1.442,4833,0,-0.270918,-0.270918,0,747,unknown,0,unknown,0.000000,null,0.000000,0.108,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.108,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-02T02:08:54.528+09:00,0.711,3,5.72,0,DRIVING,,0,1,1,0,0,0,0.150960,-1.485,4838,0,-0.272156,-0.272156,0,747,unknown,0,unknown,0.000000,null,0.000000,0.273,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.273,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-02T02:08:54.671+09:00,0.853,4,5.95,0,DRIVING,,0,1,1,0,0,0,0.151204,-1.510,4839,0,-0.272905,-0.272905,0,747,green,0,unknown,0.000000,null,0.000000,0.264,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.264,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-02T02:08:54.797+09:00,0.980,5,6.21,0,DRIVING,,0,1,1,0,0,0,0.151387,-1.535,4845,0,-0.273342,-0.273342,0,747,unknown,0,unknown,0.000000,null,0.000000,0.231,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.231,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-02T02:08:54.971+09:00,1.153,6,6.13,0,DRIVING,,0,1,1,0,0,0,0.151342,-1.546,4827,0,-0.272927,-0.272927,0,747,unknown,0,unknown,0.000000,null,0.000000,0.266,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.266,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-02T02:08:55.109+09:00,1.291,7,6.25,0,DRIVING,,0,1,1,0,0,0,0.151608,-1.557,4833,0,-0.273733,-0.273733,0,746,unknown,0,unknown,0.000000,null,0.000000,0.276,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.276,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-02T02:08:55.344+09:00,1.526,8,5.95,0,DRIVING,,0,1,1,0,0,0,0.151508,-1.558,4834,0,-0.273120,-0.273120,0,747,green,0,unknown,0.000000,null,0.000000,0.336,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.336,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-02T02:08:55.495+09:00,1.677,9,6.01,0,DRIVING,,0,1,1,0,0,0,0.151733,-1.563,4827,0,-0.273809,-0.273809,0,747,green,0,unknown,0.000000,null,0.000000,0.488,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.488,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
