frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T02:42:13.203+09:00,0.136,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,0.024206,0.745,8269,0,-0.043572,-0.043572,0,745,unknown,,,0,unknown,0.000000,null,0.000000,,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-02T02:42:13.308+09:00,0.253,1,8.17,0,DRIVING,,0,1,1,0,0,0,0.023088,0.761,8332,0,-0.039545,-0.039545,0,745,green,0.182,,0,unknown,0.000000,null,0.000000,0.240,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.240,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-02T02:42:13.411+09:00,0.355,2,9.08,0,DRIVING,,0,1,1,0,0,0,0.023088,0.773,8345,0,-0.040149,-0.040149,0,745,green,0.097,,0,unknown,0.000000,null,0.000000,0.161,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.161,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-02T02:42:13.524+09:00,0.469,3,8.90,0,DRIVING,,0,1,1,0,0,0,0.023088,0.781,8338,0,-0.040572,-0.040572,0,745,green,0.108,,0,unknown,0.000000,null,0.000000,0.278,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.278,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-02T02:42:13.613+09:00,0.557,4,9.45,0,DRIVING,,0,1,1,0,0,0,0.023181,0.788,8338,0,-0.041202,-0.041202,0,745,green,0.115,,0,unknown,0.000000,null,0.000000,0.270,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.270,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-02T02:42:13.733+09:00,0.677,5,9.19,0,DRIVING,,0,1,1,0,0,0,0.022649,0.793,8314,0,-0.039444,-0.039444,0,745,green,0.204,,0,unknown,0.000000,null,0.000000,0.391,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.391,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-02T02:42:13.823+09:00,0.768,6,9.47,0,DRIVING,,0,1,1,0,0,0,0.023181,0.797,8320,0,-0.041757,-0.041757,0,745,green,0.214,,0,unknown,0.000000,null,0.000000,0.264,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.264,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-02T02:42:13.942+09:00,0.887,7,9.28,0,DRIVING,,0,1,1,0,0,0,0.023181,0.797,8332,0,-0.041747,-0.041747,0,745,green,0.215,,0,unknown,0.000000,null,0.000000,0.384,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.384,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-02T02:42:14.044+09:00,0.988,8,9.38,0,DRIVING,,0,1,1,0,0,0,0.023181,0.802,8326,0,-0.041741,-0.041741,0,745,green,0.213,,0,unknown,0.000000,null,0.000000,0.394,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.394,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-02T02:42:14.151+09:00,1.095,9,9.37,0,DRIVING,,0,1,1,0,0,0,0.023181,0.804,8303,0,-0.041736,-0.041736,0,745,green,0.224,,0,unknown,0.000000,null,0.000000,0.290,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.290,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
