frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T02:55:00.692+09:00,0.116,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,0.038335,1.873,7648,0,-0.069003,-0.069003,0,0,0.000,255,749,unknown,,,0,unknown,0.000000,null,0.000000,,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
2,2026-08-02T02:55:00.822+09:00,0.253,1,7.14,0,DRIVING,,0,1,1,0,0,0,0.033729,1.880,7884,0,-0.052421,-0.052421,0,0,0.000,255,750,green,0.162,,1,obstacle-car,0.694855,"[1005, 441, 1276, 674]",0.068200,0.242,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.242,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
3,2026-08-02T02:55:00.907+09:00,0.340,2,8.91,0,DRIVING,,0,1,1,0,0,0,0.033729,1.886,7884,0,-0.054908,-0.054908,0,0,0.000,255,749,green,0.119,,1,obstacle-car,0.696192,"[1005, 438, 1276, 715]",0.081325,0.168,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.168,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
4,2026-08-02T02:55:01.053+09:00,0.485,3,8.12,0,DRIVING,,0,1,1,0,0,0,0.033729,1.886,7884,0,-0.056650,-0.056650,0,0,0.000,255,749,green,0.205,,1,obstacle-car,0.696192,"[1005, 438, 1276, 715]",0.081325,0.313,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.313,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
5,2026-08-02T02:55:01.142+09:00,0.575,4,8.69,0,DRIVING,,0,1,1,0,0,0,0.033729,1.888,7875,0,-0.057868,-0.057868,0,0,0.000,255,749,green,0.147,,1,obstacle-car,0.666307,"[1005, 440, 1276, 699]",0.076063,0.288,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.288,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
6,2026-08-02T02:55:01.231+09:00,0.663,5,9.09,0,DRIVING,,0,1,1,0,0,0,0.033729,1.889,7875,0,-0.058721,-0.058721,0,0,0.000,255,749,green,0.237,,1,obstacle-car,0.636814,"[1005, 440, 1276, 706]",0.077941,0.291,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.291,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
7,2026-08-02T02:55:01.330+09:00,0.764,6,9.22,0,DRIVING,,0,1,1,0,0,0,0.033729,1.890,7875,0,-0.059319,-0.059319,0,0,0.000,255,750,green,0.182,,1,obstacle-car,0.664886,"[1005, 441, 1276, 692]",0.073859,0.158,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.158,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
8,2026-08-02T02:55:01.449+09:00,0.882,7,9.13,0,DRIVING,,0,1,1,0,0,0,0.033729,1.891,7875,0,-0.059737,-0.059737,0,0,0.000,255,749,green,0.191,,1,obstacle-car,0.664886,"[1005, 441, 1276, 692]",0.073859,0.274,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.274,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
9,2026-08-02T02:55:01.540+09:00,0.972,8,9.33,0,DRIVING,,0,1,1,0,0,0,0.033729,1.891,7875,0,-0.060029,-0.060029,0,0,0.000,255,749,green,0.222,,1,obstacle-car,0.665056,"[1005, 441, 1276, 700]",0.075954,0.277,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.277,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
10,2026-08-02T02:55:01.623+09:00,1.055,9,9.57,0,DRIVING,,0,1,1,0,0,0,0.033729,1.892,7875,0,-0.060234,-0.060234,0,0,0.000,255,750,green,0.212,,1,obstacle-car,0.677122,"[1005, 441, 1276, 699]",0.075632,0.259,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.259,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
