frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_roi_normalized,car_roi_pixels,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T03:24:32.203+09:00,0.125,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,-0.282706,12.112,7571,0,0.508872,0.508872,0,0,0.000,255,747,unknown,,,0,unknown,0.000000,null,0.000000,,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 156, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 156}",156,1,0,0,0,,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-02T03:24:32.295+09:00,0.227,1,9.55,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.118,7508,0,0.513311,0.513311,0,0,0.000,255,748,green,0.170,,0,unknown,0.000000,null,0.000000,0.215,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 156, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 156}",156,1,0,0,0,0.215,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-02T03:24:32.384+09:00,0.314,2,10.46,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.123,7508,0,0.512645,0.512645,0,0,0.000,255,747,green,0.084,,0,unknown,0.000000,null,0.000000,0.133,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 155, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 155}",155,1,0,0,0,0.133,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-02T03:24:32.474+09:00,0.405,3,10.59,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.126,7510,0,0.512179,0.512179,0,0,0.000,255,747,green,0.171,,0,unknown,0.000000,null,0.000000,0.226,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 156, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 156}",156,1,0,0,0,0.226,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-02T03:24:32.559+09:00,0.488,4,10.93,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.129,7508,0,0.511853,0.511853,0,0,0.000,255,747,green,0.181,,0,unknown,0.000000,null,0.000000,0.228,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 157, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 157}",157,1,0,0,0,0.228,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-02T03:24:32.646+09:00,0.577,5,11.00,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.131,7508,0,0.511625,0.511625,0,0,0.000,255,747,green,0.178,,0,unknown,0.000000,null,0.000000,0.228,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 156, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 156}",156,1,0,0,0,0.228,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-02T03:24:32.768+09:00,0.699,6,10.40,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.132,7510,0,0.511465,0.511465,0,0,0.000,255,747,green,0.181,,0,unknown,0.000000,null,0.000000,0.176,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 177, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 177}",177,1,0,0,0,0.176,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-02T03:24:32.857+09:00,0.787,7,10.53,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.134,7508,0,0.511353,0.511353,0,0,0.000,255,747,green,0.213,,0,unknown,0.000000,null,0.000000,0.264,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 178, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 178}",178,1,0,0,0,0.264,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-02T03:24:32.938+09:00,0.868,8,10.72,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.134,7510,0,0.511274,0.511274,0,0,0.000,255,747,green,0.303,,0,unknown,0.000000,null,0.000000,0.254,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.254,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-02T03:24:33.038+09:00,0.970,9,10.63,0,DRIVING,,0,1,1,0,0,0,-0.283940,12.134,7510,0,0.511219,0.511219,0,0,0.000,255,747,green,0.292,,0,unknown,0.000000,null,0.000000,0.147,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.147,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
