frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T16:17:10.795+09:00,0.177,0,6.10,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,0,-0.037247,0.067045,0.067045,0,741,unknown,0,unknown,0.000000,null,0.000000,0.161,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.161,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-01T16:17:10.923+09:00,0.314,1,6.60,0,DRIVING,,0,1,0,-0.039598,0.075508,0.075508,0,741,unknown,0,unknown,0.000000,null,0.000000,0.088,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.088,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-01T16:17:11.046+09:00,0.434,2,7.09,0,DRIVING,,0,1,0,-0.040053,0.075875,0.075875,0,741,unknown,0,unknown,0.000000,null,0.000000,0.209,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.209,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-01T16:17:11.157+09:00,0.548,3,7.45,0,DRIVING,,0,1,0,-0.040698,0.077062,0.077062,0,741,unknown,0,unknown,0.000000,null,0.000000,0.203,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.203,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-01T16:17:11.279+09:00,0.669,4,7.59,0,DRIVING,,0,1,0,-0.041061,0.077230,0.077230,0,741,unknown,0,unknown,0.000000,null,0.000000,0.201,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.201,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-01T16:17:11.403+09:00,0.794,5,7.67,0,DRIVING,,0,1,0,-0.041334,0.077217,0.077217,0,741,unknown,0,unknown,0.000000,null,0.000000,0.213,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.213,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-01T16:17:11.521+09:00,0.910,6,7.79,0,DRIVING,,0,1,0,-0.041539,0.077109,0.077109,0,741,unknown,0,unknown,0.000000,null,0.000000,0.329,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.329,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-01T16:17:11.637+09:00,1.028,7,7.87,0,DRIVING,,0,1,0,-0.041851,0.077531,0.077531,0,740,unknown,0,unknown,0.000000,null,0.000000,0.328,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.328,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-01T16:17:11.762+09:00,1.153,8,7.88,0,DRIVING,,0,1,0,-0.041808,0.076715,0.076715,0,741,unknown,0,unknown,0.000000,null,0.000000,0.210,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.210,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-01T16:17:11.882+09:00,1.273,9,7.92,0,DRIVING,,0,1,0,-0.041894,0.076588,0.076588,0,740,unknown,0,unknown,0.000000,null,0.000000,0.330,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.330,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
